Date_Time,Region,PM1,PM2_5,PM10
2019-01-02 04:17,PMS70035,177,287,319
2019-01-02 04:18,PMS70035,171,283,313
2019-01-02 04:19,PMS70035,172,285,319
2019-01-02 04:20,PMS70035,166,289,315
2019-01-02 04:21,PMS70035,167,269,307
2019-01-02 04:22,PMS70035,166,276,299
2019-01-02 04:23,PMS70035,168,279,315
2019-01-02 04:24,PMS70035,170,282,310
2019-01-02 04:25,PMS70035,174,287,317
2019-01-02 04:26,PMS70035,170,283,316
2019-01-02 04:27,PMS70035,176,289,326
2019-01-02 04:28,PMS70035,171,281,311
2019-01-02 04:29,PMS70035,159,264,295
2019-01-02 04:30,PMS70035,163,265,300
2019-01-02 04:31,PMS70035,161,263,295
2019-01-02 04:32,PMS70035,169,274,299
2019-01-02 04:33,PMS70035,174,286,321
2019-01-02 04:34,PMS70035,160,275,312
2019-01-02 04:35,PMS70035,173,277,302
2019-01-02 04:36,PMS70035,168,279,314
2019-01-02 04:37,PMS70035,162,267,301
2019-01-02 04:38,PMS70035,166,281,318
2019-01-02 04:39,PMS70035,163,269,297
2019-01-02 04:40,PMS70035,166,273,305
2019-01-02 04:41,PMS70035,167,271,301
2019-01-02 04:42,PMS70035,151,245,268
2019-01-02 04:43,PMS70035,166,279,309
2019-01-02 04:44,PMS70035,163,268,300
2019-01-02 04:45,PMS70035,158,259,284
2019-01-02 04:46,PMS70035,162,273,305
2019-01-02 04:47,PMS70035,167,279,321
2019-01-02 04:48,PMS70035,170,272,293
2019-01-02 04:49,PMS70035,157,251,275
2019-01-02 04:50,PMS70035,162,262,286
2019-01-02 04:51,PMS70035,168,281,307
2019-01-02 04:52,PMS70035,163,273,315
2019-01-02 04:53,PMS70035,164,268,300
2019-01-02 04:54,PMS70035,167,275,301
2019-01-02 04:55,PMS70035,165,267,302
2019-01-02 04:56,PMS70035,159,265,302
2019-01-02 04:57,PMS70035,164,277,307
2019-01-02 04:58,PMS70035,171,274,316
2019-01-02 04:59,PMS70035,170,281,306
2019-01-02 05:00,PMS70035,172,287,324
2019-01-02 05:01,PMS70035,175,292,333
2019-01-02 05:02,PMS70035,179,301,333
2019-01-02 05:03,PMS70035,174,292,327
2019-01-02 05:04,PMS70035,180,294,325
2019-01-02 05:05,PMS70035,170,287,316
